id,series,agent,round,human_phatic,human_meta,human_lead,human_arch,human_agree,human_comp,human_comp_level,gemini_phatic,gemini_meta,gemini_lead,gemini_arch,gemini_agree,gemini_comp,sonnet_phatic,sonnet_meta,sonnet_lead,sonnet_arch,sonnet_agree,sonnet_comp
A-run07|Agent-A|R3,A,LLaMA 3.3 70B,3,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
A-run19|Agent-A|R9,A,LLaMA 3.3 70B,9,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run09|Agent-D|R3,A,LLaMA 4 Maverick,3,,,true,,,,,0,0,1,0,0,0,0,0,1,0,0,0
A-run09|Agent-D|R2,A,LLaMA 4 Maverick,2,,,true,,,,,0,0,1,0,0,0,0,0,1,0,0,0
A-run12|Agent-B|R4,A,GPT-OSS 120B,4,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run08|Agent-A|R5,A,LLaMA 3.3 70B,5,,true,,true,,,,0,1,0,0,0,0,0,0,0,1,0,0
A-run15|Agent-F|R8,A,Qwen3 32B,8,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
2026-03-04-00h40-SA-run1|Agent-H|R7,A,LLaMA 4 Scout,7,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
A-run01|Agent-B|R0,A,GPT-OSS 120B,0,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run04|Agent-F|R2,A,Qwen3 32B,2,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run15|Agent-F|R7,A,Qwen3 32B,7,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run19|Agent-A|R4,A,LLaMA 3.3 70B,4,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
B-run10|Hotel|R1,B,Hotel,1,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run06|Hotel|R2,B,Hotel,2,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run05|Delta|R1,B,Delta,1,,,,true,true,,,0,0,0,1,1,0,0,0,0,1,1,0
B-run09|Golf|R0,B,Golf,0,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run06|Delta|R0,B,Delta,0,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run03|Charlie|R7,B,Charlie,7,true,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run08|Golf|R4,B,Golf,4,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run11|Charlie|R1,B,Charlie,1,,,,true,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run08|Bravo|R3,B,Bravo,3,,,true,,true,,,0,0,1,0,1,0,0,0,1,0,1,0
B-run19|Charlie|R0,B,Charlie,0,,,,true,true,,,0,0,0,1,1,0,0,0,0,1,1,0
B-run10|Charlie|R2,B,Charlie,2,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run14|Echo|R2,B,Echo,2,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run02|Hotel|R1,B,Hotel,1,,,,,true,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run04|Charlie|R2,B,Charlie,2,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run07|Hotel|R4,B,Hotel,4,,true,true,,,,,0,1,1,0,0,0,0,1,1,0,0,0
B-run08|Bravo|R1,B,Bravo,1,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run15|Delta|R3,B,Delta,3,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run06|Golf|R1,B,Golf,1,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run20|Hotel|R7,B,Hotel,7,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run14|Echo|R5,B,Echo,5,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
B-run05|Hotel|R3,B,Hotel,3,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run16|Golf|R0,B,Golf,0,,,,true,,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run14|Bravo|R3,B,Bravo,3,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run03|Foxtrot|R1,B,Foxtrot,1,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run13|Hotel|R0,B,Hotel,0,,,,true,true,,,0,0,0,1,1,0,0,0,0,1,1,0
B-run10|Golf|R2,B,Golf,2,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run12|Bravo|R2,B,Bravo,2,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run03|Echo|R4,B,Echo,4,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run17|Echo|R4,B,Echo,4,,,,,true,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run13|Delta|R4,B,Delta,4,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run03|Echo|R2,B,Echo,2,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run04|Bravo|R4,B,Bravo,4,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run01|Foxtrot|R6,B,Foxtrot,6,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run13|Echo|R2,B,Echo,2,,,,,true,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run19|Alpha|R4,B,Alpha,4,,true,,,false,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run03|Alpha|R8,B,Alpha,8,false,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run11|Charlie|R0,B,Charlie,0,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
B-run01|Charlie|R4,B,Charlie,4,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
2026-03-04-01h56-SB-run1|Golf|R6,B,Golf,6,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
B-run14|Delta|R5,B,Delta,5,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
B-run06|Charlie|R4,B,Charlie,4,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run05|Echo|R1,B,Echo,1,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
B-run14|Foxtrot|R6,B,Foxtrot,6,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
B-run05|Golf|R2,B,Golf,2,,,,true,true,,,0,0,0,1,1,0,0,0,0,1,1,0
2026-03-04-01h56-SB-run1|Hotel|R3,B,Hotel,3,,,true,,,,,0,0,1,0,0,0,0,0,1,0,0,0
B-run07|Delta|R4,B,Delta,4,,true,true,,,,,0,1,1,0,0,0,0,1,1,0,0,0
C-run18|LLaMA 4 Scout|R5,C,LLaMA 4 Scout,5,,true,,true,,,,0,1,0,1,0,0,0,1,0,1,0,0
C-run02|LLaMA 4 Scout|R3,C,LLaMA 4 Scout,3,,,,true,true,,,0,0,0,1,1,0,0,0,0,1,1,0
C-run04|LLaMA 4 Maverick|R8,C,LLaMA 4 Maverick,8,,true,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
C-run06|LLaMA 3.3 70B|R3,C,LLaMA 3.3 70B,3,,,,true,true,false,L2,0,0,0,1,0,0,0,0,0,0,1,0
C-run20|LLaMA 3.3 70B|R0,C,LLaMA 3.3 70B,0,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run20|LLaMA 3.3 70B|R4,C,LLaMA 3.3 70B,4,,,,true,true,false,L2,0,0,0,1,0,0,0,0,0,0,1,0
2026-03-04-02h44-SC-run1|LLaMA 3.3 70B|R9,C,LLaMA 3.3 70B,9,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
C-run05|LLaMA 4 Maverick|R6,C,LLaMA 4 Maverick,6,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run09|GPT-OSS 20B|R6,C,GPT-OSS 20B,6,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run04|Kimi K2|R8,C,Kimi K2,8,,true,,true,,,,0,1,0,1,0,0,0,1,0,0,0,0
2026-03-04-02h44-SC-run1|LLaMA 4 Maverick|R4,C,LLaMA 4 Maverick,4,,,,,,true,L1,0,0,0,0,0,1,0,0,0,0,0,1
C-run17|LLaMA 4 Maverick|R3,C,LLaMA 4 Maverick,3,,,true,true,,,,0,0,0,1,1,0,0,0,0,1,1,0
C-run11|GPT-OSS 20B|R5,C,GPT-OSS 20B,5,,true,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
C-run20|GPT-OSS 120B|R6,C,GPT-OSS 120B,6,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
C-run08|LLaMA 4 Scout|R7,C,LLaMA 4 Scout,7,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
C-run17|LLaMA 3.3 70B|R6,C,LLaMA 3.3 70B,6,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run05|LLaMA 4 Maverick|R0,C,LLaMA 4 Maverick,0,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
C-run04|GPT-OSS 120B|R8,C,GPT-OSS 120B,8,,true,false,true,,,,0,1,0,1,0,0,0,1,0,1,0,0
C-run20|LLaMA 4 Maverick|R3,C,LLaMA 4 Maverick,3,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run13|GPT-OSS 120B|R2,C,GPT-OSS 120B,2,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run12|Qwen3 32B|R9,C,Qwen3 32B,9,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run20|Qwen3 32B|R2,C,Qwen3 32B,2,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
C-run13|LLaMA 4 Scout|R2,C,LLaMA 4 Scout,2,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run08|GPT-OSS 120B|R5,C,GPT-OSS 120B,5,,true,,true,,,,0,1,1,1,0,0,0,0,0,1,0,0
C-run02|Qwen3 32B|R2,C,Qwen3 32B,2,,,true,,,,,0,0,0,0,0,0,0,0,1,0,0,0
C-run05|LLaMA 4 Maverick|R1,C,LLaMA 4 Maverick,1,,true,,true,,,,0,1,0,1,0,0,0,1,0,1,0,0
C-run03|LLaMA 3.3 70B|R3,C,LLaMA 3.3 70B,3,,,true,true,true,,,0,0,0,1,1,0,0,0,1,1,1,0
C-run03|LLaMA 3.3 70B|R8,C,LLaMA 3.3 70B,8,,,,true,true,,,0,0,1,1,1,0,0,0,1,1,1,0
C-run03|LLaMA 3.3 70B|R6,C,LLaMA 3.3 70B,6,,,true,true,true,,,0,0,1,1,1,0,0,0,1,1,1,0
C-run07|GPT-OSS 20B|R6,C,GPT-OSS 20B,6,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run10|Qwen3 32B|R5,C,Qwen3 32B,5,,true,true,true,,,,0,1,1,1,0,0,0,1,1,1,0,0
C-run01|LLaMA 4 Scout|R7,C,LLaMA 4 Scout,7,,true,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
C-run13|LLaMA 4 Maverick|R6,C,LLaMA 4 Maverick,6,,,,true,true,,,0,0,0,1,1,0,0,0,0,1,1,0
C-run04|LLaMA 4 Maverick|R5,C,LLaMA 4 Maverick,5,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run07|Kimi K2|R9,C,Kimi K2,9,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run06|Qwen3 32B|R9,C,Qwen3 32B,9,,true,,,,true,L1,0,1,0,0,0,1,0,1,0,0,0,1
C-run20|Qwen3 32B|R7,C,Qwen3 32B,7,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
C-run11|Qwen3 32B|R10,C,Qwen3 32B,10,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
C-run20|GPT-OSS 20B|R0,C,GPT-OSS 20B,0,,true,,false,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run10|LLaMA 3.3 70B|R7,C,LLaMA 3.3 70B,7,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
2026-03-04-02h44-SC-run1|LLaMA 3.3 70B|R10,C,LLaMA 3.3 70B,10,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
C-run01|Kimi K2|R10,C,Kimi K2,10,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
C-run10|GPT-OSS 120B|R9,C,GPT-OSS 120B,9,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
C-run12|LLaMA 4 Maverick|R2,C,LLaMA 4 Maverick,2,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run09|LLaMA 3.3 70B|R3,C,LLaMA 3.3 70B,3,,,true,false,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run11|LLaMA 4 Scout|R5,C,LLaMA 4 Scout,5,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
C-run03|LLaMA 3.3 70B|R4,C,LLaMA 3.3 70B,4,,,true,true,true,,,0,0,0,1,1,0,0,0,1,1,1,0
C-run16|LLaMA 4 Maverick|R1,C,LLaMA 4 Maverick,1,,true,,true,,,,0,0,0,0,0,0,0,0,0,1,0,0
C-run04|GPT-OSS 20B|R8,C,GPT-OSS 20B,8,,true,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
C-run12|GPT-OSS 120B|R3,C,GPT-OSS 120B,3,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run10|LLaMA 4 Maverick|R8,C,LLaMA 4 Maverick,8,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
C-run19|Kimi K2|R3,C,Kimi K2,3,,true,,true,,,,0,1,1,1,0,0,0,0,0,1,0,0
C-run02|GPT-OSS 20B|R4,C,GPT-OSS 20B,4,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run16|LLaMA 4 Maverick|R3,C,LLaMA 4 Maverick,3,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run17|LLaMA 4 Scout|R6,C,LLaMA 4 Scout,6,,true,,true,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run20|GPT-OSS 120B|R9,C,GPT-OSS 120B,9,,,true,true,,,,0,0,1,1,0,0,0,0,0,1,0,0
C-run10|Qwen3 32B|R4,C,Qwen3 32B,4,,true,,true,,,,0,1,0,1,0,0,0,1,0,1,0,0
C-run08|GPT-OSS 120B|R2,C,GPT-OSS 120B,2,,,true,true,,,,0,0,1,1,0,0,0,0,0,1,0,0
C-run17|GPT-OSS 20B|R0,C,GPT-OSS 20B,0,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run07|GPT-OSS 120B|R4,C,GPT-OSS 120B,4,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run05|LLaMA 4 Maverick|R8,C,LLaMA 4 Maverick,8,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
C-run10|LLaMA 4 Maverick|R6,C,LLaMA 4 Maverick,6,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
2026-03-04-02h44-SC-run1|LLaMA 4 Maverick|R3,C,LLaMA 4 Maverick,3,,,,true,,,,0,0,0,0,0,0,0,0,0,1,0,0
C-run15|LLaMA 4 Maverick|R2,C,LLaMA 4 Maverick,2,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
C-run15|GPT-OSS 20B|R8,C,GPT-OSS 20B,8,false,true,,,,,,1,1,0,0,0,0,0,1,0,0,0,0
2026-03-04-02h44-SC-run1|LLaMA 4 Maverick|R7,C,LLaMA 4 Maverick,7,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
C-run19|LLaMA 3.3 70B|R0,C,LLaMA 3.3 70B,0,,true,,true,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run21|Agent-A|R3,E,Kimi K2,3,,,,true,,true,L1,0,0,0,1,0,1,0,0,0,1,0,1
E-run08|Agent-H|R4,E,LLaMA 4 Scout,4,,true,,,true,,,0,1,0,0,0,0,0,0,0,0,0,0
E-run18|Agent-E|R2,E,GPT-OSS 20B,2,,,true,true,,,,0,0,1,1,0,0,0,0,0,0,0,0
E-run08|Agent-D|R2,E,LLaMA 3.3 70B,2,,true,,,true,,,0,1,0,0,1,0,0,0,0,0,1,0
E-run15|Agent-D|R10,E,Kimi K2,10,,true,,false,,,,0,0,0,1,0,0,0,0,0,0,0,0
E-run12|Agent-H|R0,E,LLaMA 4 Maverick,0,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run21|Agent-C|R6,E,GPT-OSS 20B,6,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
E-run21|Agent-G|R4,E,Qwen3 32B,4,,,,true,,true,L2,0,0,0,1,0,1,0,0,0,1,0,1
E-run17|Agent-A|R4,E,LLaMA 4 Scout,4,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run16|Agent-F|R10,E,Kimi K2,10,,true,,true,,,,0,1,0,1,0,0,0,0,0,0,0,0
E-run06|Agent-H|R7,E,GPT-OSS 120B,7,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
E-run20|Agent-E|R1,E,GPT-OSS 120B,1,,,true,false,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run18|Agent-C|R6,E,GPT-OSS 120B,6,,,true,true,,,,0,0,1,1,0,0,0,0,0,1,0,0
E-run05|Agent-D|R2,E,LLaMA 4 Scout,2,,true,true,true,true,,,0,0,1,1,1,0,0,0,1,0,1,0
E-run01|Agent-G|R4,E,Qwen3 32B,4,,,,true,true,,,0,0,0,1,0,0,0,0,0,0,1,0
E-run14|Agent-D|R2,E,GPT-OSS 20B,2,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
E-run05|Agent-H|R0,E,GPT-OSS 20B,0,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
E-run13|Agent-F|R8,E,LLaMA 4 Scout,8,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
E-run08|Agent-F|R10,E,GPT-OSS 120B,10,,,true,true,,,,0,0,1,1,0,0,0,0,0,1,0,0
E-run05|Agent-G|R5,E,GPT-OSS 120B,5,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
E-run07|Agent-E|R5,E,LLaMA 4 Maverick,5,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run10|Agent-F|R3,E,Qwen3 32B,3,,true,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
E-run09|Agent-F|R4,E,LLaMA 4 Maverick,4,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
E-run05|Agent-C|R10,E,Qwen3 32B,10,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run07|Agent-C|R3,E,GPT-OSS 120B,3,,,,true,,,,0,0,0,0,0,0,0,0,0,1,0,0
E-run04|Agent-D|R7,E,GPT-OSS 20B,7,,,true,,,,,0,0,1,0,0,0,0,0,1,0,0,0
E-run15|Agent-C|R3,E,GPT-OSS 20B,3,,,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
E-run13|Agent-H|R7,E,GPT-OSS 120B,7,,,true,true,,,,0,0,1,1,0,0,0,0,0,0,0,0
E-run10|Agent-B|R7,E,LLaMA 3.3 70B,7,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
E-run07|Agent-E|R6,E,LLaMA 4 Maverick,6,,,,true,,true,L1,0,0,0,1,0,1,0,0,0,1,0,1
E-run16|Agent-H|R10,E,GPT-OSS 20B,10,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run19|Agent-G|R9,E,GPT-OSS 20B,9,,,,true,,,,0,0,0,1,0,0,0,0,0,1,1,0
E-run12|Agent-F|R5,E,Qwen3 32B,5,,,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
E-run19|Agent-D|R5,E,Qwen3 32B,5,,,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
E-run02|Agent-F|R3,E,GPT-OSS 120B,3,,,true,true,,,,0,0,1,1,0,0,0,0,0,0,0,0
E-run12|Agent-E|R6,E,Kimi K2,6,,,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
E-run21|Agent-D|R7,E,LLaMA 3.3 70B,7,,,,,true,,,0,0,0,0,1,0,0,0,0,0,1,0
E-run07|Agent-E|R2,E,LLaMA 4 Maverick,2,,,,,,true,L1,0,0,0,1,0,1,0,0,0,0,0,1
E-run06|Agent-A|R1,E,LLaMA 4 Maverick,1,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
E-run07|Agent-H|R9,E,GPT-OSS 20B,9,,,true,true,,,,0,0,1,1,0,0,0,0,1,0,0,0
E-run07|Agent-H|R5,E,GPT-OSS 20B,5,,,,true,true,,,0,0,0,1,1,0,0,0,0,1,1,0
E-run03|Agent-D|R2,E,LLaMA 4 Scout,2,,true,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
